...1,St.16,St.15,St.14,St.13,St.12,St.10,St.9,St.8,St.7,St.6,St.5,St.4,St.3,St.2,St.1,St.20,St.17,St.19,St.30,St.31,St.18,St.33,rel_grotenete1,St.27,St.28,St.29,St.34,St.26,St.25,St.32,St.11,St.23,St.22,St.21,St.24,rel_grotenete3,rel_grotenete2
St.18,85115.0796047901,82866.5449153719,78528.1671710218,77421.1051194997,74624.1573875902,64806.2764775217,61509.3214664089,54883.9323933804,50462.8109725954,46275.9738530181,44137.5635387389,43713.3104223154,41947.6867287541,39874.9641815781,35580.974596447,30987.0290926114,23561.8544673413,20116.3953394645,7608.14585202956,141.417705474266,0,14411.963685554,86163.588749317,13256.7219652281,13556.7263327501,7849.5650133444,18267.5838553044,21009.1040110614,22957.5374353224,14453.3880099906,69744.5014608568,30765.6942738361,33355.6172811982,36694.0531403682,28110.099648978,85156.4958544238,85356.4987661051
St.33,99527.043290344,97278.5086009258,92940.1308565757,91833.0688050536,89036.1210731441,79218.2401630756,75921.2851519629,69295.8960789345,64874.7746581495,60687.9375385722,58549.527224293,58125.2741078696,56359.6504143082,54286.9278671323,49992.9382820011,45398.9927781655,37973.8181528954,34528.3590250185,22020.1095375836,14553.3813910283,14411.963685554,0,100575.552434871,27668.6856507821,27968.6900183041,22261.5286988984,3855.62016975038,35421.0676966154,37369.5011208764,300.004367521964,84156.4651464107,45177.6579593902,47767.5809667523,51106.0168259223,42522.0633345321,99568.4595399777,99768.462451659
rel_grotenete1,1048.50914452691,3438.45346461651,7635.42157829526,8742.48362981734,11598.0084931311,21357.3122717955,24654.2672829083,31338.2334873408,35783.6264255948,39887.614896299,42026.0252105782,42450.2783270017,44215.902020563,46288.624567739,50582.6141528701,55176.5596567057,62601.7342819758,66047.1934098527,78555.4428972876,86022.1710438428,86163.588749317,100575.552434871,0,72906.866784089,72606.8624165671,78314.0237359727,104431.172604621,75006.6470378515,76955.0804621126,100616.976759307,16419.0872884603,84763.2373006262,87353.1603079883,90691.5961671582,82107.6426757681,1007.09289489321,807.089983211903
St.27,71858.3576395621,69609.8229501439,65271.4452057938,64164.3831542717,61367.4354223621,51549.5545122935,48252.5995011807,41627.2104281522,37206.0890073672,33019.2518877899,30880.8415735107,30456.5884570872,28690.9647635259,26618.24221635,22324.2526312189,17730.3071273833,10305.1325021133,6859.67337423643,5648.57611319853,13115.3042597538,13256.7219652281,27668.6856507821,72906.866784089,0,300.004367521964,5407.1569518836905,31524.3058205325,7752.38204583329,9700.81547009435,27710.1099752186,56487.7794956288,17508.9723086081,20098.8953159701,23437.3311751401,14853.37768375,71899.7738891959,72099.7768008772
St.28,71558.3532720402,69309.8185826219,64971.4408382719,63864.3787867498,61067.4310548401,51249.5501447715,47952.5951336587,41327.2060606302,36906.0846398452,32719.2475202679,30580.8372059887,30156.5840895653,28390.960396004,26318.237848828,22024.2482636969,17430.3027598614,10005.1281345913,6559.66900671446,5948.58048072049,13415.3086272758,13556.7263327501,27968.6900183041,72606.8624165671,300.004367521964,0,5707.16131940565,31824.3101880544,7452.37767831132,9400.81110257238,28010.1143427406,56187.7751281068,17208.9679410861,19798.8909484482,23137.3268076182,14553.373316228,71599.7695216739,71799.7724333552
St.29,77265.5145914458,75016.9799020275,70678.6021576775,69571.5401061554,66774.5923742458,56956.7114641772,53659.7564530644,47034.3673800359,42613.2459592509,38426.4088396736,36287.9985253944,35863.7454089709,34098.1217154096,32025.399168233602,27731.4095831025,23137.464079267,15712.289453997,12266.8303261201,241.419161314839,7708.14730787013,7849.5650133444,22261.5286988984,78314.0237359727,5407.1569518836905,5707.16131940565,0,26117.1488686488,13159.538997717,15107.972421978,22302.953023335,61894.9364475125,22916.1292604917,25506.0522678538,28844.4881270238,20260.5346356336,77306.9308410796,77506.9337527609
St.34,103382.663460094,101134.128770676,96795.751026326,95688.688974804,92891.7412428944,83073.8603328259,79776.9053217132,73151.5162486848,68730.3948278998,64543.5577083226,62405.1473940434,61980.8942776199,60215.2705840586,58142.5480368826,53848.5584517515,49254.6129479159,41829.4383226458,38383.9791947689,25875.729707334,18409.0015607787,18267.5838553044,3855.62016975038,104431.172604621,31524.3058205325,31824.3101880544,26117.1488686488,0,39276.6878663658,41225.1212906268,4097.04740586822,88012.085316161,49033.2781291406,51623.2011365027,54961.6369956727,46377.6835042825,103424.079709728,103624.082621409
St.26,73958.1378933246,71709.6032039064,67371.2254595563,66264.1634080343,63467.2156761246,53649.334766056,50352.3797549432,43726.9906819147,39305.8692611297,35119.0321415524,32980.6218272732,32556.3687108497,30790.7450172884,28718.0224701125,24424.0328849814,19830.0873811458,12404.9127558758,8959.45362799893,13400.9581590318,20867.6863055871,21009.1040110614,35421.0676966154,75006.6470378515,7752.38204583329,7452.37767831132,13159.538997717,39276.6878663658,0,1948.43342426106,35462.4920210519,58587.5597493913,9756.59026277476,12346.5132701369,15684.9491293069,7100.99563791665,73999.5541429584,74199.5570546397
St.25,75906.5713175857,73658.0366281674,69319.6588838173,68212.5968322953,65415.6491003857,55597.7681903171,52300.8131792043,45675.4241061758,41254.3026853908,37067.4655658135,34929.0552515343,34504.8021351108,32739.1784415495,30666.4558943735,26372.4663092424,21778.5208054069,14353.3461801368,10907.88705226,15349.3915832929,22816.1197298482,22957.5374353224,37369.5011208764,76955.0804621126,9700.81547009435,9400.81110257238,15107.972421978,41225.1212906268,1948.43342426106,0,37410.925445313,60535.9931736523,7808.1568385137,10398.0798458758,13736.5157050458,5152.56221365559,75947.9875672194,76147.9904789007
St.32,99568.4676147806,97319.9329253623,92981.5551810123,91874.4931294902,89077.5453975806,79259.6644875121,75962.7094763994,69337.320403371,64916.1989825861,60729.3618630088,58590.9515487296,58166.6984323061,56401.0747387448,54328.3521915688,50034.3626064377,45440.4171026021,38015.2424773319,34569.7833494551,22061.5338620201,14594.8057154649,14453.3880099906,300.004367521964,100616.976759307,27710.1099752186,28010.1143427406,22302.953023335,4097.04740586822,35462.4920210519,37410.925445313,0,84197.8894708472,45219.0822838268,47809.0052911889,51147.4411503589,42563.4876589686,99609.8838644143,99809.8867760956
St.11,15370.5781439334,13122.0434545151,8783.665710165,7676.60365864291,4879.6559267333,4938.22498333526,8235.17999444803,14919.1461988806,19364.5391371346,23468.5276078388,25606.9379221179,26031.1910385414,27796.8147321027,29869.5372792787,34163.5268644097,38757.4723682453,46182.6469935155,49628.1061213924,62136.3556088273,69603.0837553826,69744.5014608568,84156.4651464107,16419.0872884603,56487.7794956288,56187.7751281068,61894.9364475125,88012.085316161,58587.5597493913,60535.9931736523,84197.8894708472,0,68344.1500121661,70934.0730195282,74272.5088786981,65688.555387308,15411.9943935671,15611.9973052484
St.23,83714.7281560993,81466.193466681,77127.815722331,76020.7536708089,73223.8059388993,63405.9250288309,60108.9700177181,53483.5809446896,49062.4595239045,44875.6224043272,42737.212090048,42312.9589736246,40547.3352800632,38474.6127328873,34180.6231477561,29586.6776439206,22161.5030186505,18716.0438907737,23157.5484218066,30624.2765683618,30765.6942738361,45177.6579593902,84763.2373006262,17508.9723086081,17208.9679410861,22916.1292604917,49033.2781291406,9756.59026277476,7808.1568385137,45219.0822838268,68344.1500121661,0,2589.92300736209,5928.35886653209,2655.59462485811,83756.144405733,83956.1473174143
St.22,86304.6511634614,84056.1164740431,79717.7387296931,78610.676678171,75813.7289462614,65995.848036193,62698.8930250802,56073.5039520517,51652.3825312667,47465.5454116894,45327.1350974102,44902.8819809867,43137.2582874254,41064.5357402494,36770.5461551183,32176.6006512827,24751.4260260126,21305.9668981358,25747.4714291687,33214.1995757239,33355.6172811982,47767.5809667523,87353.1603079883,20098.8953159701,19798.8909484482,25506.0522678538,51623.2011365027,12346.5132701369,10398.0798458758,47809.0052911889,70934.0730195282,2589.92300736209,0,3338.43585917,5245.5176322202,86346.0674130951,86546.0703247764
St.21,89643.0870226313,87394.5523332131,83056.174588863,81949.112537341,79152.1648054314,69334.2838953629,66037.3288842502,59411.9398112217,54990.8183904367,50803.9812708594,48665.5709565802,48241.3178401567,46475.6941465954,44402.9715994194,40108.9820142883,35515.0365104527,28089.8618851826,24644.4027573058,29085.9072883387,36552.635434894,36694.0531403682,51106.0168259223,90691.5961671582,23437.3311751401,23137.3268076182,28844.4881270238,54961.6369956727,15684.9491293069,13736.5157050458,51147.4411503589,74272.5088786981,5928.35886653209,3338.43585917,0,8583.9534913902,89684.5032722651,89884.5061839464
St.24,81059.1335312412,78810.5988418229,74472.2210974729,73365.1590459508,70568.2113140412,60750.3304039727,57453.3753928599,50827.9863198314,46406.8648990464,42220.0277794691,40081.6174651899,39657.3643487664,37891.7406552051,35819.0181080291,31525.028522898,26931.0830190625,19505.9083937924,16060.4492659156,20501.9537969485,27968.6819435037,28110.099648978,42522.0633345321,82107.6426757681,14853.37768375,14553.373316228,20260.5346356336,46377.6835042825,7100.99563791665,5152.56221365559,42563.4876589686,65688.555387308,2655.59462485811,5245.5176322202,8583.9534913902,0,81100.549780875,81300.5526925563
rel_grotenete3,99.9933810378425,2431.3605697233,6628.32868340205,7735.39073492413,10590.9155982379,20350.2193769023,23647.1743880151,30331.1405924476,34776.5335307016,38880.5220014058,41018.932315685,41443.1854321085,43208.8091256698,45281.5316728458,49575.5212579769,54169.4667618125,61594.6413870826,65040.1005149595,77548.3500023944,85015.0781489496,85156.4958544238,99568.4595399777,1007.09289489321,71899.7738891959,71599.7695216739,77306.9308410796,103424.079709728,73999.5541429584,75947.9875672194,99609.8838644143,15411.9943935671,83756.144405733,86346.0674130951,89684.5032722651,81100.549780875,0,200.002911681309
rel_grotenete2,241.419161315003,2631.36348140461,6828.33159508335,7935.39364660544,10790.9185099192,20550.2222885836,23847.1772996964,30531.1435041289,34976.5364423829,39080.5249130871,41218.9352273663,41643.1883437898,43408.8120373511,45481.5345845271,49775.5241696582,54369.4696734938,61794.6442987639,65240.1034266408,77748.3529140757,85215.0810606309,85356.4987661051,99768.462451659,807.089983211903,72099.7768008772,71799.7724333552,77506.9337527609,103624.082621409,74199.5570546397,76147.9904789007,99809.8867760956,15611.9973052484,83956.1473174143,86546.0703247764,89884.5061839464,81300.5526925563,200.002911681309,0
