"","acoustic_project_code","station_name","deploy_latitude","deploy_longitude"
"411","ws3","ws-F42",51.42786,4.03246
"412","ws3","ws-F53",51.41672,4.02487
"413","ws3","ws-FZ2",51.42601,4.03575
"414","ws3","ws-HW6",51.43484,4.02702
"415","zeeschelde","bn-Lier",51.11731,4.54958
"416","zeeschelde","bn-Walem",51.07183,4.45474
"417","zeeschelde","du-Hamveer",51.10507,4.14106
"418","zeeschelde","gn-Lier",51.13594,4.59381
"419","zeeschelde","kn-Lier",51.14993,4.58453
"420","zeeschelde","Rt1",51.01097,4.02438
"421","zeeschelde","Rt2",51.01123,4.02495
"422","zeeschelde","Rt3",51.01193,4.02682
"423","zeeschelde","Rt4",51.01242,4.02803
"424","zeeschelde","Rt5",51.01295,4.02923
"425","zeeschelde","Rt6",51.0135,4.03042
"426","zeeschelde","Rt7",51.01403,4.03152
"427","zeeschelde","Rt8",51.01627,4.03598
"428","zeeschelde","s-1",51.02811,3.78691
"429","zeeschelde","s-2",51.006648,3.77829
"430","zeeschelde","s-2a",51.02032,3.96965
"431","zeeschelde","s-3",51.0434,4.04783
"432","zeeschelde","s-4",51.04231,4.0945
"433","zeeschelde","s-4a",51.03203,4.18166
"434","zeeschelde","s-4b",51.05593,4.20024
"435","zeeschelde","s-4c",51.07363,4.19007
"436","zeeschelde","s-5",51.09258,4.17083
"437","zeeschelde","s-6",51.12287,4.2184
"438","zeeschelde","s-7",51.11414,4.24123
"439","zeeschelde","s-8",51.14319,4.33078
"440","zeeschelde","s-8a",51.14222,4.32646
"441","zeeschelde","s-9",51.19069,4.32954
"442","zeeschelde","s-9a",51.19068,4.33602
"443","zeeschelde","s-10",51.23393,4.39715
"444","zeeschelde","s-10a",51.235423,4.396673
"445","zeeschelde","s-11",51.29646,4.2857
"446","zeeschelde","s-12",51.30305,4.28731
"447","zeeschelde","s-Dendermonde",51.03855,4.1175
"448","zeeschelde","s-Dendermonde2",51.036148,4.108625
"449","zeeschelde","s-Schoonaarde",51.0056444,4.012115
"450","zeeschelde","s-STD3",51.330504,4.270161
"451","zeeschelde","s-Vlassenbroek",51.03955,4.16605
"452","zeeschelde","s-Wetteren",51.00164,3.85695
"453","zeeschelde","s-wichelen",51.0168,3.92527
"454","zeeschelde","s-Wichelen",51.0168,3.92527
